system:time_start,potential_evaporation_1,temperature_2m,total_precipitation_1
"Jan 1, 1981",-5.844,280.991,1.494
"Feb 1, 1981",-6.927,283.478,2.531
"Mar 1, 1981",-8.288,286.159,7.285
"Apr 1, 1981",-9.963,288.719,6.593
"May 1, 1981",-7.182,289.161,8.945
"Jun 1, 1981",-6.893,290.768,30.641
"Jul 1, 1981",-8.722,291.131,13.925
"Aug 1, 1981",-8.518,291.867,14.44
"Sep 1, 1981",-5.502,290.482,25.024
"Oct 1, 1981",-7.028,288.938,4.202
"Nov 1, 1981",-5.539,286.461,6.578
"Dec 1, 1981",-5.4,282.489,2.193
"Jan 1, 1982",-6.322,281.032,1.515
"Feb 1, 1982",-6.844,283.745,3.445
"Mar 1, 1982",-9.73,286.806,4.026
"Apr 1, 1982",-6.746,286.598,7.65
"May 1, 1982",-10.137,289.557,7.118
"Jun 1, 1982",-8.835,290.952,9.647
"Jul 1, 1982",-9.029,291.748,25.954
"Aug 1, 1982",-6.706,290.859,19.081
"Sep 1, 1982",-8.213,290.352,6.316
"Oct 1, 1982",-8.278,288.283,2.122
"Nov 1, 1982",-6.627,286.508,5.951
"Dec 1, 1982",-5.855,282.762,1.634
"Jan 1, 1983",-5.017,282.151,3.941
"Feb 1, 1983",-3.916,282.912,12.531
"Mar 1, 1983",-5.659,284.651,13.874
"Apr 1, 1983",-12.273,288.737,3.866
"May 1, 1983",-6.914,289.333,13.457
"Jun 1, 1983",-11.245,291.295,9.701
"Jul 1, 1983",-12.124,292.216,7.644
"Aug 1, 1983",-8.035,291.239,12.625
"Sep 1, 1983",-9.441,290.804,6.049
"Oct 1, 1983",-7.805,289.784,5.846
"Nov 1, 1983",-7.566,284.489,1.258
"Dec 1, 1983",-6.083,281.437,1.808
"Jan 1, 1984",-6.242,281.285,1.091
"Feb 1, 1984",-6.448,282.889,2.3
"Mar 1, 1984",-7.771,285.145,3.964
"Apr 1, 1984",-7.333,287.59,7.839
"May 1, 1984",-7.112,289.04,14.03
"Jun 1, 1984",-9.262,291.333,10.23
"Jul 1, 1984",-10.976,291.239,9.094
"Aug 1, 1984",-7.392,291.12,16.837
"Sep 1, 1984",-9.143,289.99,8.875
"Oct 1, 1984",-6.919,288.401,15.268
