fid,year,month,start_date,area,coord_x,coord_y,wgs84_x,wgs84_y
1,1963,5,1963/5/4,1478.8,238940,2595636,120.8917372,23.46370309
2,1963,5,1963/5/10,282,237625.5,2571488,120.8790678,23.24562971
3,1963,5,1963/5/20,6,256697.36,2587288,121.0655212,23.38834243
4,1963,4,1963/4/20,4.97,240658.2,2593372,120.9085702,23.44326948
5,1968,3,1968/3/22,33.3,240614.89,2587697,120.9081817,23.39202258
6,1968,3,1968/3/22,50,266757.72,2584386,121.1639106,23.36206437
7,1971,5,1971/5/2,602,237243.66,2578801,120.8752747,23.31166608
8,1976,3,1976/3/9,107.8,247571.16,2607260,120.976206,23.56870523
9,1976,2,1976/2/5,20.52,240735.2,2574956,120.9094367,23.27696768
10,1976,12,1976/12/20,98.26,238938.38,2581424,120.8918256,23.335365
11,1982,1,1982/1/19,100,247773.59,2605441,120.9781918,23.55227979
12,1983,5,1983/1/4,44.97,251417.98,2598043,121.0138824,23.48547572
13,1983,4,1983/1/4,44.97,247500.66,2597442,120.9755317,23.48004728
14,1987,2,1987/1/30,50,245988.95,2604765,120.9607127,23.546172
15,1987,3,1987/2/20,31.12,240735.2,2574956,120.9094367,23.27696768
16,1991,5,1991/5/11,9.43,249725.84,2593500,120.9973167,23.4444521
17,1991,4,1991/4/16,40.04,240735.2,2574956,120.9094367,23.27696768
18,1993,4,1993/2/5,10.08,236483.59,2601219,120.8676419,23.51409989
19,1993,1,1993/1/6,292.4,238936.06,2595632,120.8916987,23.46366695
20,1995,12,1995/12/24,0.03,245988.95,2604765,120.9607127,23.546172
21,1996,3,1996/3/21,22.71,240168.03,2575909,120.9038865,23.28557036
22,1998,4,1998/4/3,277.27,256718.17,2593998,121.0657547,23.44893532
23,1998,4,1998/4/1,10.51,252824.75,2595091,121.0276496,23.45881675
24,2003,11,2003/11/15,0.56,240477,2575737,120.9069079,23.28401895
25,2004,5,2004/5/11,0.01,241593,2595000,120.9177101,23.45797575
26,2020,7,2020/7/23,0,241349,2594807,120.9153229,23.45623164
27,2021,5,2021/5/16,22.09,252800,2596822,121.0274105,23.47444807
